angle_of_attack,angle_of_attack_degs,average
0.0,0,-0.52
0.2617993877991494,15,-0.5
0.5235987755982988,30,-0.4
0.7853981633974483,45,-0.2
1.0471975511965976,60,-0.07
1.3089969389957472,75,-0.04
1.5707963267948966,90,0.12
1.8325957145940461,105,-0.28
2.0943951023931953,120,0.17
2.356194490192345,135,0.68
2.6179938779914944,150,0.9
2.8797932657906435,165,0.86
3.141592653589793,180,0.76
